TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
1,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
2,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
3,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
4,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
5,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
6,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
7,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
8,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
9,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
10,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
11,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
12,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
13,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
14,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
15,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
16,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
17,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
18,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
19,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
20,40,40,40,40,40,43,46,53,56,64,68,75,79,82,85,88,91
21,43,43,43,43,43,46,49,56,60,68,72,79,82,85,88,91,94
22,43,43,43,43,43,46,49,56,60,68,72,79,82,85,88,91,94
23,43,43,43,43,43,46,49,56,60,68,72,79,82,85,88,91,94
24,43,43,43,43,43,46,49,56,60,68,72,79,82,85,88,91,94
25,46,46,46,46,46,49,53,60,64,72,75,82,85,88,91,94,97
26,46,46,46,46,46,49,53,60,64,72,75,82,85,88,91,94,97
27,46,46,46,46,46,49,53,60,64,72,75,82,85,88,91,94,97
28,46,46,46,46,46,49,53,60,64,72,75,82,85,88,91,94,97
29,46,46,46,46,46,49,53,60,64,72,75,82,85,88,91,94,97
30,49,49,49,49,49,53,56,64,68,75,79,85,88,91,94,97,100
31,49,49,49,49,49,53,56,64,68,75,79,85,88,91,94,97,100
32,49,49,49,49,49,53,56,64,68,75,79,85,88,91,94,97,100
33,49,49,49,49,49,53,56,64,68,75,79,85,88,91,94,97,100
34,49,49,49,49,49,53,56,64,68,75,79,85,88,91,94,97,100
35,53,53,53,53,53,56,60,68,72,79,82,88,91,94,97,100,103
36,53,53,53,53,53,56,60,68,72,79,82,88,91,94,97,100,103
37,53,53,53,53,53,56,60,68,72,79,82,88,91,94,97,100,103
38,56,56,56,56,56,60,64,72,75,82,85,91,94,97,100,103,106
39,56,56,56,56,56,60,64,72,75,82,85,91,94,97,100,103,106
40,56,56,56,56,56,60,64,72,75,82,85,91,94,97,100,103,106
41,56,56,56,56,56,60,64,72,75,82,85,91,94,97,100,103,106
42,60,60,60,60,60,64,68,75,79,85,88,94,97,100,103,106,109
43,60,60,60,60,60,64,68,75,79,85,88,94,97,100,103,106,109
44,64,64,64,64,64,68,72,79,82,88,91,97,100,103,106,109,112
45,64,64,64,64,64,68,72,79,82,88,91,97,100,103,106,109,112
46,64,64,64,64,64,68,72,79,82,88,91,97,100,103,106,109,112
47,68,68,68,68,68,72,75,82,85,91,94,100,103,106,109,112,115
48,68,68,68,68,68,72,75,82,85,91,94,100,103,106,109,112,115
49,72,72,72,72,72,75,79,85,88,94,97,103,106,109,112,115,118
50,72,72,72,72,72,75,79,85,88,94,97,103,106,109,112,115,118
51,72,72,72,72,72,75,79,85,88,94,97,103,106,109,112,115,118
52,72,72,72,72,72,75,79,85,88,94,97,103,106,109,112,115,118
53,75,75,75,75,75,79,82,88,91,97,100,106,109,112,115,118,122
54,75,75,75,75,75,79,82,88,91,97,100,106,109,112,115,1 18,122
55,79,79,79,79,79,82,85,91,94,100,103,109,112,115,118,122,125
56,79,79,79,79,79,82,85,91,94,100,103,109,112,115,118,122,125
57,79,79,79,79,79,82,85,91,94,100,103,109,112,115,118,122,125
58,82,82,82,82,82,85,88,94,97,103,106,112,115,118,122,125,128
59,82,82,82,82,82,85,88,94,97,103,106,112,115,118,122,125,128
60,82,82,82,82,82,85,88,94,97,103,106,112,115,118,122,125,128
61,85,85,85,85,85,88,91,97,100,106,109,115,118,122,125,128,132
62,85,85,85,85,85,88,91,97,100,106,109,115,118,122,125,128,132
63,88,88,88,88,88,91,94,100,103,109,112,118,122,125,128,132,135
64,88,88,88,88,88,91,94,100,103,109,112,118,122,125,128,132,135
65,88,88,88,88,88,91,94,100,103,109,112,118,122,125,128,132,135
66,91,91,91,91,91,94,97,103,106,112,115,122,125,128,132,135,138
67,91,91,91,91,91,94,97,103,106,112,115,122,125,128,132,135,138
68,91,91,91,91,91,94,97,103,106,112,115,122,125,128,132,135,138
69,94,94,94,94,94,97,100,106,109,115,118,125,128,132,135,138,142
70,94,94,94,94,94,97,100,106,109,115,118,125,128,132,135,138,142
71,94,94,94,94,94,97,100,106,109,115,118,125,128,132,135,138,142
72,94,94,94,94,94,97,100,106,109,115,118,125,128,132,135,138,142
73,97,97,97,97,97,100,103,109,112,118,122,128,132,135,138,142,146
74,97,97,97,97,97,100,103,109,112,118,122,128,132,135,138,142,146
75,97,97,97,97,97,100,103,109,112,118,122,128,132,135,138,142,146
76,97,97,97,97,97,100,103,109,112,118,122,128,132,135,138,142,146
77,97,97,97,97,97,100,103,109,112,118,122,128,132,135,138,142,146
78,100,100,100,100,100,103,106,112,115,122,125,132,135,138,142,146,150
79,100,100,100,100,100,103,106,112,115,122,125,132,135,138,142,146,150
