TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-20
0,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
1,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
2,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
3,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
4,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
5,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
6,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
7,40,40,40,40,40,40,40,40,40,40,40,40,40,44,44,48,48,52,60,77
8,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,52,52,56,64,80
9,44,44,44,44,44,44,44,44,44,44,44,44,44,48,48,52,52,56,64,80
10,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,56,60,68,82
11,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,56,60,68,82
12,48,48,48,48,48,48,48,48,48,48,48,48,48,52,52,56,56,60,68,82
13,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,60,60,64,71,85
14,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,60,60,64,71,85
15,56,56,56,56,56,56,56,56,56,56,56,56,56,60,60,64,64,68,75,88
16,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,68,71,78,91
17,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,68,71,78,91
18,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,68,71,78,91
19,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,68,71,78,91
20,60,60,60,60,60,60,60,60,60,60,60,60,60,64,64,68,68,71,78,91
21,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,71,75,81,94
22,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,71,75,81,94
23,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,71,75,81,94
24,64,64,64,64,64,64,64,64,64,64,64,64,64,68,68,71,71,75,81,94
25,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,75,75,78,84,97
26,68,68,68,68,68,68,68,68,68,68,68,68,68,71,71,75,75,78,84,97
27,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,78,78,81,86,99
28,71,71,71,71,71,71,71,71,71,71,71,71,71,75,75,78,78,81,86,99
29,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,81,81,84,88,101
30,75,75,75,75,75,75,75,75,75,75,75,75,75,78,78,81,81,84,88,101
31,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,84,84,86,91,105
32,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,84,84,86,91,105
33,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,86,86,88,94,108
34,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,86,86,88,94,108
35,84,84,84,84,84,84,84,84,84,84,84,84,84,86,86,88,88,91,97,111
36,86,86,86,86,86,86,86,86,86,86,86,86,86,88,88,91,91,94,100,115
37,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,94,94,97,102,119
38,88,88,88,88,88,88,88,88,88,88,88,88,88,91,91,94,94,97,102,119
39,91,91,91,91,91,91,91,91,91,91,91,91,91,94,94,97,97,100,104,124
40,91,91,91,91,91,91,91,91,91,91,91,91,91,94,94,97,97,100,104,124
41,94,94,94,94,94,94,94,94,94,94,94,94,94,97,97,100,100,102,108,127
42,97,97,97,97,97,97,97,97,97,97,97,97,97,100,100,102,102,104,112,131
