TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
1,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
2,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
3,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
4,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
5,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
6,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
7,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
8,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
9,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
10,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
11,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
12,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
13,40,40,40,40,40,40,40,44,44,49,49,53,53,57,57,61,65,65,69,73,76,78,81,85,94
14,44,44,44,44,44,44,44,49,49,53,53,57,57,61,61,65,69,69,73,76,78,81,83,87,97
15,44,44,44,44,44,44,44,49,49,53,53,57,57,61,61,65,69,69,73,76,78,81,83,87,97
16,44,44,44,44,44,44,44,49,49,53,53,57,57,61,61,65,69,69,73,76,78,81,83,87,97
17,44,44,44,44,44,44,44,49,49,53,53,57,57,61,61,65,69,69,73,76,78,81,83,87,97
18,49,49,49,49,49,49,49,53,53,57,57,61,61,65,65,69,73,73,76,78,81,83,85,90,100
19,49,49,49,49,49,49,49,53,53,57,57,61,61,65,65,69,73,73,76,78,81,83,85,90,100
20,53,53,53,53,53,53,53,57,57,61,61,65,65,69,69,73,76,76,78,81,83,85,87,94,103
21,53,53,53,53,53,53,53,57,57,61,61,65,65,69,69,73,76,76,78,81,83,85,87,94,103
22,57,57,57,57,57,57,57,61,61,65,65,69,69,73,73,76,78,78,81,83,85,87,90,97,106
23,57,57,57,57,57,57,57,61,61,65,65,69,69,73,73,76,78,78,81,83,85,87,90,97,106
24,61,61,61,61,61,61,61,65,65,69,69,73,73,76,76,78,81,81,83,85,87,90,94,100,109
25,65,65,65,65,65,65,65,69,69,73,73,76,76,78,78,81,83,83,85,87,90,94,97,103,112
26,65,65,65,65,65,65,65,69,69,73,73,76,76,78,78,81,83,83,85,87,90,94,97,103,112
27,65,65,65,65,65,65,65,69,69,73,73,76,76,78,78,81,83,83,85,87,90,94,97,103,112
28,69,69,69,69,69,69,69,73,73,76,76,78,78,81,81,83,85,85,87,90,94,97,100,106,114
29,69,69,69,69,69,69,69,73,73,76,76,78,78,81,81,83,85,85,87,90,94,97,100,106,114
30,73,73,73,73,73,73,73,76,76,78,78,81,81,83,83,85,87,87,90,94,97,100,103,109,117
31,73,73,73,73,73,73,73,76,76,78,78,81,81,83,83,85,87,87,90,94,97,100,103,109,117
32,76,76,76,76,76,76,76,78,78,81,81,83,83,85,85,87,90,90,94,97,100,103,106,112,120
33,78,78,78,78,78,78,78,81,81,83,83,85,85,87,87,90,94,94,97,100,103,106,109,114,123
34,81,81,81,81,81,81,81,83,83,85,85,87,87,90,90,94,97,97,100,103,106,109,112,117,126
35,83,83,83,83,83,83,83,85,85,87,87,90,90,94,94,97,100,100,103,106,109,112,114,120,129
36,85,85,85,85,85,85,85,87,87,90,90,94,94,97,97,100,103,103,106,109,112,114,117,123,132
37,90,90,90,90,90,90,90,94,94,97,97,100,100,103,103,106,109,109,112,114,117,120,123,129,140
38,94,94,94,94,94,94,94,97,97,100,100,103,103,106,106,109,112,112,114,117,120,123,126,132,144
39,97,97,97,97,97,97,97,100,100,103,103,106,106,109,109,112,114,114,117,120,123,126,129,136,148
40,100,100,100,100,100,100,100,103,103,106,106,109,109,112,112,114,117,117,120,123,126,129,132,140,152
