TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
1,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
2,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
3,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
4,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
5,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
6,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
7,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
8,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
9,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
10,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
11,40,40,40,40,43,46,49,53,56,64,72,75,79,82,85,88,91
12,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
13,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
14,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
15,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
16,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
17,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
18,43,43,43,43,46,49,53,56,60,68,75,79,82,85,88,91,94
19,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
20,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
21,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
22,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
23,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,91
24,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
25,46,46,46,46,49,53,56,60,64,72,79,82,85,88,91,94,97
26,49,49,49,49,53,56,60,64,68,75,82,85,88,91,94,97,100
27,49,49,49,49,53,56,60,64,68,75,82,85,88,91,94,97,100
28,49,49,49,49,53,56,60,64,68,75,82,85,88,91,94,97,100
29,49,49,49,49,53,56,60,64,68,75,82,85,88,91,94,97,100
30,49,49,49,49,53,56,60,64,68,75,82,85,88,91,94,97,100
31,53,53,53,53,56,60,64,68,72,79,85,88,91,94,97,100,103
32,53,53,53,53,56,60,64,68,72,79,85,88,91,94,97,100,103
