TS,0,1,2,3,4,5,6,7,8,9-10
0,40,40,40,40,40,40,44,47,54,74
1,40,40,40,40,40,40,44,47,54,74
2,40,40,40,40,40,"40,",44,47,54,74
3,40,40,40,40,40,40,44,47,54,74
4,40,40,40,40,40,40,44,47,54,74
5,40,40,40,40,40,40,44,47,54,74
6,40,40,40,40,40,40,44,47,54,74
7,40,40,40,40,40,40,44,47,54,74
8,40,40,40,40,40,40,44,47,54,74
9,40,40,40,40,40,40,44,47,54,74
10,40,40,40,40,40,40,44,47,54,74
11,40,40,40,40,40,40,44,47,54,74
12,40,40,40,40,40,40,44,47,54,74
13,44,44,44,44,44,44,47,51,57,78
14,44,44,44,44,44,44,47,51,57,78
15,47,47,47,47,47,47,51,54,60,82
16,51,51,51,51,51,51,54,57,64,85
17,54,54,54,54,54,54,57,60,68,87
18,57,57,57,57,57,57,60,64,71,89
19,60,60,60,60,60,60,64,68,75,92
20,64,64,64,64,64,64,68,71,79,96
21,71,71,71,71,71,71,75,79,87,101
22,71,71,71,71,71,71,75,79,87,101
23,75,75,75,75,75,75,79,83,90,104
24,75,75,75,75,75,75,79,83,90,104
25,79,79,79,79,79,79,83,87,92,108
26,83,83,83,83,83,83,87,90,94,112
27,83,83,83,83,83,83,87,90,94,112
28,87,87,87,87,87,87,90,92,96,116
29,87,87,87,87,87,87,90,92,96,116
30,90,90,90,90,90,90,92,94,100,120
31,90,90,90,90,90,90,92,94,100,120
32,92,92,92,92,92,92,94,96,102,124
33,92,92,92,92,92,92,94,96,102,124
34,94,94,94,94,94,94,96,100,104,127
35,94,94,94,94,94,94,96,100,104,127
36+,96,96,96,96,96,96,100,102,108,130
