TS,0,1,2,3,4,5,6,7,8,9—10
0,40,40,40,40,40,44,47,51,54,72
1,40,40,40,40,40,44,47,51,54,72
2,40,40,40,40,40,44,47,51,54,72
3,40,40,40,40,40,44,47,51,54,72
4,40,40,40,40,40,44,47,51,54,72
5,40,40,40,40,40,44,47,51,54,72
6,40,40,40,40,40,44,47,51,54,72
7,40,40,40,40,40,44,47,51,54,72
8,44,44,44,44,44,47,51,54,57,76
9,44,44,44,44,44,47,51,54,57,76
10,47,47,47,47,47,51,54,57,60,80
11,47,47,47,47,47,51,54,57,60,80
12,51,51,51,51,51,54,57,60,64,83
13,51,51,51,51,51,54,57,60,64,83
14,54,54,54,54,54,57,60,64,68,85
15,57,57,57,57,57,60,64,68,71,88
16,60,60,60,60,60,64,68,71,75,91
17,60,60,60,60,60,64,68,71,75,91
18,64,64,64,64,64,68,71,75,79,95
19,64,64,64,64,64,68,71,75,79,95
20,68,68,68,68,68,71,75,79,83,97
21,71,71,71,71,71,75,79,83,87,100
22,71,71,71,71,71,75,79,83,87,100
23,75,75,75,75,75,79,83,87,90,103
24,75,75,75,75,75,79,83,87,90,103
25,79,79,79,79,79,83,87,90,92,106
26,83,83,83,83,83,87,90,92,94,110
27,83,83,83,83,83,87,90,92,94,110
28,87,87,87,87,87,90,92,94,96,114
29,87,87,87,87,87,90,92,94,96,114
30,90,90,90,90,90,92,94,96,100,118
31,90,90,90,90,90,92,94,96,100,118
32,92,92,92,92,92,94,96,100,102,122
33,92,92,92,92,92,94,96,100,102,122
34,94,94,94,94,94,96,100,102,104,125
35,96,96,96,96,96,100,102,104,108,129
36+,100,100,100,100,100,102,104,108,112,132
