TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-20
0,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
1,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
2,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
3,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
4,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
5,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
6,40,40,40,40,40,40,40,40,40,40,40,40,40,44,48,48,48,56,60,78
7,44,44,44,44,44,44,44,44,44,44,44,44,44,48,52,52,52,60,64,81
8,44,44,44,44,44,44,44,44,44,44,44,44,44,48,52,52,52,60,64,81
9,44,44,44,44,44,44,44,44,44,44,44,44,44,48,52,52,52,60,64,81
10,48,48,48,48,48,48,48,48,48,48,48,48,48,52,56,56,56,64,68,84
11,48,48,48,48,48,48,48,48,48,48,48,48,48,52,56,56,56,64,68,84
12,48,48,48,48,48,48,48,48,48,48,48,48,48,52,56,56,56,64,68,84
13,52,52,52,52,52,52,52,52,52,52,52,52,52,56,60,60,60,68,71,86
14,52,52,52,52,52,52,52,52,52,52,52,52,52,56,60,60,60,68,71,86
15,56,56,56,56,56,56,56,56,56,56,56,56,56,60,64,64,64,71,75,89
16,60,60,60,60,60,60,60,60,60,60,60,60,60,64,68,68,68,75,78,92
17,60,60,60,60,60,60,60,60,60,60,60,60,60,64,68,68,68,75,78,92
18,60,60,60,60,60,60,60,60,60,60,60,60,60,64,68,68,68,75,78,92
19,64,64,64,64,64,64,64,64,64,64,64,64,64,68,71,71,71,78,81,95
20,64,64,64,64,64,64,64,64,64,64,64,64,64,68,71,71,71,78,81,95
21,64,64,64,64,64,64,64,64,64,64,64,64,64,68,71,71,71,78,81,95
22,64,64,64,64,64,64,64,64,64,64,64,64,64,68,71,71,71,78,81,95
23,68,68,68,68,68,68,68,68,68,68,68,68,68,71,75,75,75,81,84,98
24,68,68,68,68,68,68,68,68,68,68,68,68,68,71,75,75,75,81,84,98
25,68,68,68,68,68,68,68,68,68,68,68,68,68,71,75,75,75,81,84,98
26,71,71,71,71,71,71,71,71,71,71,71,71,71,75,78,78,78,84,86,100
27,71,71,71,71,71,71,71,71,71,71,71,71,71,75,78,78,78,84,86,100
28,75,75,75,75,75,75,75,75,75,75,75,75,75,78,81,81,81,86,88,102
29,75,75,75,75,75,75,75,75,75,75,75,75,75,78,81,81,81,86,88,102
30,75,75,75,75,75,75,75,75,75,75,75,75,75,78,81,81,81,86,88,102
31,78,78,78,78,78,78,78,78,78,78,78,78,78,81,84,84,84,88,91,106
32,78,78,78,78,78,78,78,78,78,78,78,78,78,81,84,84,84,88,91,106
33,81,81,81,81,81,81,81,81,81,81,81,81,81,84,86,86,86,91,94,110
34,84,84,84,84,84,84,84,84,84,84,84,84,84,86,88,88,88,94,97,112
35,84,84,84,84,84,84,84,84,84,84,84,84,84,86,88,88,88,94,97,112
36,86,86,86,86,86,86,86,86,86,86,86,86,86,88,91,91,91,97,100,116
37,88,88,88,88,88,88,88,88,88,88,88,88,88,91,94,94,94,100,102,121
38,88,88,88,88,88,88,88,88,88,88,88,88,88,91,94,94,94,100,102,121
39,91,91,91,91,91,91,91,91,91,91,91,91,91,94,97,97,97,102,104,126
40,91,91,91,91,91,91,91,91,91,91,91,91,91,94,97,97,97,102,104,126
41,94,94,94,94,94,94,94,94,94,94,94,94,94,97,100,100,100,104,108,129
42,97,97,97,97,97,97,97,97,97,97,97,97,97,100,102,102,102,108,112,133
