TS,0,1,2,3,4,5,6,7,8,9—10
0,40,40,40,40,40,44,47,51,57,71
1,40,40,40,40,40,44,47,51,57,71
2,40,40,40,40,40,44,47,51,57,71
3,40,40,40,40,40,44,47,51,57,71
4,40,40,40,40,40,44,47,51,57,71
5,40,40,40,40,40,44,47,51,57,71
6,40,40,40,40,40,44,47,51,57,71
7,44,44,44,44,44,47,51,54,60,75
8,44,44,44,44,44,47,51,54,60,75
9,47,47,47,47,47,51,54,57,64,79
10,47,47,47,47,47,51,54,57,64,79
11,47,47,47,47,47,51,54,57,64,79
12,51,51,51,51,51,54,57,60,68,82
13,51,51,51,51,51,54,57,60,68,82
14,54,54,54,54,54,57,60,64,71,84
15,57,57,57,57,57,60,64,68,75,87
16,60,60,60,60,60,64,68,71,79,90
17,60,60,60,60,60,64,68,71,79,90
18,64,64,64,64,64,68,71,75,83,94
19,64,64,64,64,64,68,71,75,83,94
20,68,68,68,68,68,71,75,79,87,97
21,71,71,71,71,71,75,79,83,90,99
22,71,71,71,71,71,75,79,83,90,99
23,75,75,75,75,75,79,83,87,92,102
24,75,75,75,75,75,79,83,87,92,102
25,79,79,79,79,79,83,87,90,94,105
26,83,83,83,83,83,87,90,92,96,109
27,83,83,83,83,83,87,90,92,96,109
28,87,87,87,87,87,90,92,94,100,113
29,87,87,87,87,87,90,92,94,100,113
30,90,90,90,90,90,92,94,96,102,117
31,92,92,92,92,92,94,96,100,104,120
32,92,92,92,92,92,94,96,100,104,120
33,94,94,94,94,94,96,100,102,108,124
34,96,96,96,96,96,100,102,104,112,127
35,100,100,100,100,100,102,104,108,116,131
36+,100,100,100,100,100,102,104,108,116,131
