TS,0,1,2,3,4,5,6,7,8,9-10
0,40,40,40,40,40,44,47,51,57,74
1,40,40,40,40,40,44,47,51,57,74
2,40,40,40,40,40,44,47,51,57,74
3,40,40,40,40,40,44,47,51,57,74
4,40,40,40,40,40,44,47,51,57,74
5,40,40,40,40,40,44,47,51,57,74
6,44,44,44,44,44,47,51,54,60,78
7,44,44,44,44,44,47,51,54,60,78
8,44,44,44,44,44,47,51,54,60,78
9,47,47,47,47,47,51,54,57,64,82
10,47,47,47,47,47,51,54,57,64,82
11,47,47,47,47,47,51,54,57,64,82
12,51,51,51,51,51,54,57,60,68,85
13,51,51,51,51,51,54,57,60,68,85
14,54,54,54,54,54,57,60,64,71,87
15,57,57,57,57,57,60,64,68,75,90
16,60,60,60,60,60,64,68,71,79,92
17,60,60,60,60,60,64,68,71,79,92
18,64,64,64,64,64,68,71,75,83,96
19,64,64,64,64,64,68,71,75,83,96
20,68,68,68,68,68,71,75,79,87,98
21,71,71,71,71,71,75,79,83,90,101
22,71,71,71,71,71,75,79,83,90,101
23,75,75,75,75,75,79,83,87,92,104
24,75,75,75,75,75,79,83,87,92,104
25,79,79,79,79,79,83,87,90,94,108
26,83,83,83,83,83,87,90,92,96,111
27,87,87,87,87,87,90,92,94,100,116
28,87,87,87,87,87,90,92,94,100,116
29,90,90,90,90,90,92,94,96,102,120
30,90,90,90,90,90,92,94,96,102,120
31,94,94,94,94,94,96,100,102,108,127
32,94,94,94,94,94,96,100,102,108,127
33,94,94,94,94,94,96,100,102,108,127
34,96,96,96,96,96,100,102,104,112,130
35,100,100,100,100,100,102,104,108,116,134
36+,100,100,100,100,100,102,104,108,116,134
