TS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
1,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
2,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
3,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
4,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
5,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
6,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
7,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
8,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
9,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
10,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
11,50,50,50,50,50,50,53,53,56,58,60,60,62,64,64,66,69,72,78,81,84
12,53,53,53,53,53,53,56,56,58,60,62,62,64,66,66,69,72,75,81,84,87
13,56,56,56,56,56,56,58,58,60,62,64,64,66,69,69,72,75,78,84,87,89
14,58,58,58,58,58,58,60,60,62,64,66,66,69,72,72,75,78,81,87,89,92
15,60,60,60,60,60,60,62,62,64,66,69,69,72,75,75,78,81,84,89,92,96
16,62,62,62,62,62,62,64,64,66,69,72,72,75,78,78,81,84,87,92,96,100
17,66,66,66,66,66,66,69,69,72,75,78,78,81,84,84,87,89,92,100,102,105
18,72,72,72,72,72,72,75,75,78,81,84,84,87,89,89,92,96,100,105,109,112
19,75,75,75,75,75,75,78,78,81,84,87,87,89,92,92,96,100,102,109,112,116
20,81,81,81,81,81,81,84,84,87,89,92,92,96,100,100,102,105,109,116,121,126
